d,r,r,"d,r",r,r,"d,r",r,r,"d,r",r,r,"d,r",r,r,"d,r",r,r,d,r
"d,l","u,l",l,d,"u,l",l,d,"u,l",l,d,"u,l",l,d,"u,l",l,d,"u,l",l,"d,l","u,l"
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u
d,u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,d,u
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u
d,u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,d,u
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u
d,u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,d,u
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u
d,u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,d,u
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u
d,u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,d,u
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u
"d,r",u,r,"d,r",u,r,"d,r",u,r,"d,r",u,r,"d,r",u,r,"d,r",u,r,"d,r",u
l,"u,l",l,l,"u,l",l,l,"u,l",l,l,"u,l",l,l,"u,l",l,l,"u,l",l,l,"u,l"
