d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,r,d,r,
"d,l","u,l",l,"d,l",u,l,"d,l",u,l,"d,l",u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,"d,l",u,l,d,u,l,d,"u,l",
d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,
d,u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,"d,r",u,q,d,u,
d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,
"d,r",u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,
d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,"d,r","u,l",
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u,
d,"u,l",1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,1,d,u,
d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,q,d,u,
d,u,q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,"u,l",q,d,u,
